name,type,capacity,carrier,tech,bus,marginal_cost
lignite_be,dispatchable,0,lignite,mandatory,BE,7
hard_coal_be,dispatchable,777,hard_coal,mandatory,BE,21
natural_gas_be,dispatchable,1040,natural_gas,mandatory,BE,31.02825464
oil_be,dispatchable,327,oil,mandatory,BE,58.48902821
biomass_be,dispatchable,45.19,biomass,mandatory,BE,75.45
lignite_bb,dispatchable,4409,lignite,mandatory,BB,7
hard_coal_bb,dispatchable,0,hard_coal,mandatory,BB,20.90963528
natural_gas_bb,dispatchable,733.3,natural_gas,mandatory,BB,31.02825464
oil_bb,dispatchable,333.5,oil,mandatory,BB,58.48902821
biomass_bb,dispatchable,439.8,biomass,mandatory,BB,75.45
